🏥,hospital
💹,chart increasing with yen
💺,seat
💻,laptop
💼,briefcase
💽,computer disk
💾,floppy disk
💿,optical disc
📀,dvd
📁,file folder
📂,open file folder
📃,page with curl
📄,page facing up
📅,calendar
📄,page facing up
📅,calendar
📆,tear-off calendar
📇,card index
📈,chart increasing
📉,chart decreasing
📊,bar chart
📋,clipboard
📌,pushpin
📍,round pushpin
📎,paperclip
📏,straight ruler
📐,triangular ruler
📑,bookmark tabs
📒,ledger
📓,notebook
📔,notebook with decorative cover
📕,closed book
📖,open book
📗,green book
📘,blue book
📙,orange book
📚,books
📛,name badge
📜,scroll
📞,telephone receiver
📟,pager
📠,fax machine
📡,satellite antenna
📢,loudspeaker
📣,megaphone
📤,outbox tray
📥,inbox tray
📦,package
📧,e-mail
📨,incoming envelope
📩,envelope with arrow
📪,closed mailbox with lowered flag
📫,closed mailbox with raised flag
📬,open mailbox with raised flag
📭,open mailbox with lowered flag
📮,postbox
📯,postal horn
📰,newspaper
📱,mobile phone
📲,mobile phone with arrow
📳,vibration mode
📴,mobile phone off
📵,no mobile phones
📶,antenna bars
📷,camera
📸,camera with flash
📹,video camera
📺,television
📻,radio
📼,videocassette
📽,film projector
📾,portable stereo
📿,prayer beads
🔀,shuffle tracks button
🔁,repeat button
🔂,repeat single button
🔃,clockwise vertical arrows
🔄,counterclockwise arrows button
🔅,dim button
🔆,bright button
🔇,muted speaker
🔈,speaker low volume
🔉,speaker medium volume
🔊,speaker high volume
🔋,battery
🔌,electric plug
🔍,magnifying glass tilted left
🔎,magnifying glass tilted right
🔏,locked with pen
🔐,locked with key
🔑,key
🔒,locked
🔓,unlocked
🔔,bell
🔕,bell with slash
🔖,bookmark
🔗,link
🔘,radio button
🔙,back arrow
🔚,end arrow
🔛,on! arrow
🔜,soon arrow
🔝,top arrow
🔞,no one under eighteen
🔟,keycap 10
🔠,input latin uppercase
🔡,input latin lowercase
🔢,input numbers
🔣,input symbols
🔤,input latin letters
🔥,fire
🔦,flashlight
🔧,wrench
🔨,hammer
🔩,nut and bolt
🔪,kitchen knife
🔫,pistol
🔬,microscope
🔭,telescope
🔮,crystal ball
🔯,dotted six-pointed star
🔰,Japanese symbol for beginner
🔱,trident emblem
🔲,white square button
🔳,white square button
🔴,red circle
🔵,blue circle
🔶,large orange diamond
🔷,large blue diamond
🔸,small orange diamond
🔹,small blue diamond
🔺,red triangle pointed up
🔻,red triangle pointed down
🔼,upwards button
🔽,downwards button
🕉,om
🕊,dove
🕋,kaaba
🕌,mosque
🕍,synagogue
🕎,menorah
🕐,one o’clock
🕑,two o’clock
🕒,three oclock
🕓,four oclock
🕔,five oclock
🕕,six oclock
🕖,seven oclock
🕗,eight oclock
🕘,nine oclock
🕙,ten oclock
🕚,eleven oclock
🕛,twelve oclock
🕜,1:00 PM
🕝,2:00 PM
🕞,3:00 PM
🕟,4:00 PM
🕠,5:00 PM
🕡,6:00 PM
🕢,7:00 PM
🕣,8:00 PM
🕤,9:00 PM
🕥,10:00 PM
🕦,ten-thirty
🕧,eleven-thirty
🤍,white heart
🤎,brown heart
🤏,pinching hand
🤐,zipper-mouth face
🤑,money-mouth face
🤒,face with thermometer
🤓,nerd face
🤔,thinking face
🤕,face with head-bandage
🤖,robot
🤗,hugging face
🤘,sign of the horns
🤙,call me hand
🤚,raised back of hand
🤛,raised fist
🤜,oncoming fist
🤝,handshake
🤞,crossed fingers
🤟,love-you gesture
🤠,cowboy hat face
🤡,clown face
🤢,nauseated face
🤣,rolling on the floor laughing
🤤,drooling face
🤥,lying face
🤦,person facepalming
🤧,sneezing face
🤨,face with raised eyebrow
🤩,star-struck
🤪,zany face
🤫,shushing face
🤬,face with symbols over mouth
🤭,smiling face with smiling eyes and hand covering mouth
🤮,face vomiting
🤯,exploding head
🤰,pregnant woman
🤱,woman feeding baby
🤲,palms up together
🤳,selfie
🤴,prince
🤵,man in tuxedo
🤶,woman with veil
🤷,person shrugging
🤸,person cartwheeling
🤹,person juggling
🤺,person fencing
🤻,person gesturing NO
🤼,people wrestling
🤽,person playing water polo
🤾,person playing handball
🤿,diving mask
🥀,wilted flower
🥁,drum
🥂,clinking glasses
🥃,tumbler glass
🥄,spoon
🥅,goal net
🥆,oil drum
🥇,1st place medal
🥈,2nd place medal
🥉,3rd place medal
🥊,boxing glove
🥋,martial arts uniform
🥌,curling stone
🥍,goal net
🥎,softball
🥏,flying disc
🥐,croissant
🥑,avocado
🥒,cucumber
🥓,bacon
🥔,potato
🥕,carrot
🥖,baguette
🥗,green salad
🥘,shallow pan of food
🥙,stuffed flatbread
🥚,egg
🥛,glass of milk
🥜,peanuts
🥝,kiwi fruit
🥞,pancakes
🥟,dumpling
🥠,fortune cookie
🥡,takeout box
🥢,chopsticks
🥣,bowl with spoon
🥤,cup with straw
🥥,coconut
🥦,broccoli
🥧,pie
🥨,flatbread
🥩,cut of meat
🥪,sandwich
🥫,canned food
🥬,leafy green
🥭,mango
🥮,moon cake
🥯,bagel
🥰,smiling face with hearts
🥱,yawning face
🥲,☹️
🥳,partying face
🥴,woozy face
🥵,hot face
🥶,cold face
🥷,ninja
🥸,disguised face
🥹,woozy face
🥺,pleading face
🥻,sari
🥼,lab coat
🥽,goggles
🥾,hiking boot
🥿,flat shoe
🦀,crab
🦁,lion
🦂,scorpion
🦃,turkey
🦄,unicorn
🦅,eagle
🦆,duck
🦇,bat
🦈,shark
🦉,owl
🦊,fox
🦋,butterfly
🦌,deer
🦍,gorilla
🦎,lizard
🦏,rhinoceros
🦐,shrimp
🦑,squid
🦒,giraffe
🦓,zebra
🦔,hedgehog
🦕,sauropod
🦖,T-Rex
🦗,cricket
🦘,kangaroo
🦙,llama
🦚,peacock
🦛,hippopotamus
🦜,parrot
🦝,badger
🦞,lobster
🦟,mosquito
🦠,microbe
🦡,badger
🦢,swan
🦣,flamingo
🦤,peacock
🦥,parrot
🦦,kangaroo
🦧,badger
🦨,skunk
🦩,flamingo
🦪,oyster
🦫,beaver
🦬,ox
🦭,guide dog
🦮,service dog
🦯,probing cane
🦰,hair follicles
🦱,curly hair
🦲,bald
🦳,white hair
🦴,bone
🦵,leg
🦶,foot
🦷,tooth
🦸,superhero
🦹,supervillain
🦺,safety pin
🦻,placard
🦼,flying saucer
🦽,sled
🦾,curling stone
🦿,prosthetic leg
🧀,cheese
🧁,cupcake
🧂,salt
🧃,beverage box
🧄,garlic
🧅,onion
🧆,dumpling
🧇,waffle
🧈,butter
🧉,mate
🧊,ice
🧍,person standing
🧎,person kneeling
🧏,person standing with hand on hip
🧐,face with monocle
🧑,person
🧒,child
🧓,older person
🧔,person with beard
🧕,woman with headscarf
🧖,person in steamy room
🧗,person climbing
🧘,person in lotus position
🧙,mage
🧚,fairy
🧛,vampire
🧜,merperson
🧝,elf
🧞,genie
🧟,zombie
🧠,brain
🧡,orange heart
🧢,baseball cap
🧣,scarf
🧤,gloves
🧥,coat
🧦,socks
🧧,red envelope
🧨,firecracker
🧩,jigsaw
🧪,test tube
🧫,petri dish
🧬,dna
🧭,compass
🧮,abacus
🧯,fire extinguisher
🧰,toolbox
🧱,brick
🧲,magnet
🧳,luggage
🧴,lotion bottle
🧵,thread
🧶,yarn
🧷,safety pin
🧸,bookmark
🧹,broom
🧺,basket
🧻,toilet paper
🧼,soap
🧽,sponge
🧾,bookmark tabs
🧿,nazar amulet
📝,memo
